age,f_mort,m_mort
0,0.0050,0.0061
1,0.0003,0.0004
2,0.0002,0.0003
3,0.0002,0.0002
4,0.0001,0.0002
5,0.0001,0.0001
6,0.0001,0.0001
7,0.0001,0.0001
8,0.0001,0.0001
9,0.0001,0.0001
10,0.0001,0.0001
11,0.0001,0.0001
12,0.0001,0.0001
13,0.0001,0.0002
14,0.0002,0.0003
15,0.0002,0.0004
16,0.0002,0.0006
17,0.0003,0.0007
18,0.0003,0.0008
19,0.0004,0.0009
20,0.0004,0.0011
21,0.0004,0.0012
22,0.0005,0.0013
23,0.0005,0.0014
24,0.0006,0.0015
25,0.0006,0.0015
26,0.0006,0.0016
27,0.0006,0.0016
28,0.0007,0.0017
29,0.0007,0.0017
30,0.0008,0.0018
31,0.0009,0.0019
32,0.0009,0.0019
33,0.0010,0.0020
34,0.0010,0.0021
35,0.0011,0.0022
36,0.0012,0.0022
37,0.0012,0.0023
38,0.0013,0.0024
39,0.0014,0.0025
40,0.0014,0.0026
41,0.0015,0.0027
42,0.0016,0.0028
43,0.0017,0.0030
44,0.0019,0.0032
45,0.0020,0.0034
46,0.0022,0.0036
47,0.0023,0.0039
48,0.0025,0.0042
49,0.0027,0.0045
50,0.0030,0.0049
51,0.0032,0.0053
52,0.0035,0.0058
53,0.0039,0.0064
54,0.0042,0.0070
55,0.0046,0.0077
56,0.0050,0.0083
57,0.0054,0.0090
58,0.0059,0.0098
59,0.0063,0.0106
60,0.0069,0.0114
61,0.0075,0.0123
62,0.0080,0.0132
63,0.0085,0.0141
64,0.0090,0.0150
65,0.0096,0.0160
66,0.0102,0.0172
67,0.0110,0.0183
68,0.0120,0.0196
69,0.0132,0.0209
70,0.0145,0.0223
71,0.0160,0.0239
72,0.0174,0.0256
73,0.0194,0.0283
74,0.0212,0.0307
75,0.0235,0.0339
76,0.0259,0.0371
77,0.0290,0.0412
78,0.0322,0.0453
79,0.0359,0.0500
80,0.0400,0.0549
81,0.0446,0.0607
82,0.0504,0.0675
83,0.0569,0.0749
84,0.0632,0.0835
85,0.0711,0.0936
86,0.0803,0.1040
87,0.0904,0.1163
88,0.0904,0.1163
89,0.0904,0.1163
90,0.0904,0.1163
91,0.0904,0.1163
92,0.0904,0.1163
93,0.0904,0.1163
94,0.0904,0.1163
95,0.0904,0.1163
96,0.0904,0.1163
97,0.0904,0.1163
98,0.0904,0.1163
99,0.0904,0.1163
100,0.0904,0.1163
